PERÍODO,EMPRESA,LOCALIDAD,PROVINCIA,INSUMO,"CUPO TOTAL ASIGNADO ","PRODUCCIÓN ","VENTAS TOTALES ","PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.)","PETROBRAS ARGENTINA S.A.","FOX PETROL S.A.","REFINERÍA DEL NORTE S.A.","SHELL ARGENTINA C.A.P.S.A.","YPF S.A.","ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.","OIL COMBUSTIBLES S.A.","TRAFIGURA ARGENTINA S.A.","REFI PAMPA S.A."
2012/11/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",600,"733,6197094125079","610,7138344914719",0,0,0,0,0,"610,71",0,0,0,0
2012/11/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,"226,6582438408086","693,1396083385977",0,0,0,0,0,"693,14",0,0,0,0
2012/11/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1200,"1497,8648136449779","1036,184459886292","489,7","546,48",0,0,0,0,0,0,0,0
2012/11/01,"BIOETANOL RÍO CUARTO S.A.","RÍO CUARTO",CÓRDOBA,MAÍZ,4507,"4801,099178774479","4954,264055590651","911,81","262,28",0,0,"1639,63","2140,55",0,0,0,0
2012/11/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",5083,"4957,713202779533","4768,818698673405","889,85",0,0,0,"727,23","2649,58","98,73","403,43",0,0
2012/11/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1800,0,"2328,603916614024",0,0,0,0,0,"2328,61",0,0,0,0
2012/11/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",5000,"4593,329121920404","4617,72583701832","285,16","222,4",0,"599,2",0,"3063,07",0,"447,9",0,0
2012/11/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"2289,3240682248893","2029,05874921036","1260,9",0,0,0,"400,5",0,0,"367,66",0,0
2012/11/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",1000,"1359,5704358812382","732,3310170562223",0,0,0,0,"219,03","513,3",0,0,0,0
2012/11/01,"VICENTÍN S.A.I.C.",AVELLANEDA,"SANTA FE",MAÍZ,2100,0,0,0,0,0,0,0,0,0,0,0,0
